"native","family","physiognomy","synonymGC","commonName","nameDNR"
"N","Brassicaceae","H","Barbarea orthoceras","winter-cress","Barbarea orthoceras"
"I","Brassicaceae","H","Barbarea vulgaris","yellow rocket","Barbarea vulgaris"
"N","Gentianaceae","H","Bartonia virginica","yellow screwstem","Bartonia virginica"
"N","Poaceae","G","Beckmannia syzigachne","American slough grass","Beckmannia syzigachne"
"I","Berberidaceae","D","Berberis thunbergii","Japanese barberry","Berberis thunbergii"
"I","Berberidaceae","D","Berberis vulgaris","common barberry","Berberis vulgaris"
"I","Brassicaceae","H","Berteroa incana","hoary alyssum","Berteroa incana"
"N","Apiaceae","H","Berula erecta","stream parsnip","Berula incisa"
"N","Betulaceae","D","Betula alleghaniensis","yellow birch","Betula alleghaniensis"
"N","Betulaceae","D","Betula papyrifera var. cordifolia","heart-leaved birch","Betula cordifolia"
"N","Betulaceae","D","Betula nigra","river birch","Betula nigra"
"N","Betulaceae","D","Betula papyrifera s.l., Betula papyrifera var. papyrifera","paper birch","Betula papyrifera"
"N","Betulaceae","D","Betula pumila","bog birch","Betula pumila"
"N","Betulaceae","D","Betula xpurpusii","Purpus' birch","Betula xpurpusii"
"N","Betulaceae","D","","Rosendahl's birch","Betula xrosendahlii"
"N","Betulaceae","D","Betula xsandbergii","Sandberg's birch","Betula xsandbergii"
"N","Asteraceae","F,H,S","Bidens beckii","water marigold","Bidens beckii"
"N","Asteraceae","H","Bidens cernua","nodding bur marigold","Bidens cernua"
"N","Asteraceae","H","Bidens connata","swamp beggarticks","Bidens connata"
"N","Asteraceae","H","Bidens discoidea","discoid beggarticks","Bidens discoidea"
"N","Asteraceae","H","Bidens frondosa","leafy beggarticks","Bidens frondosa"
"N","Asteraceae","H","Bidens coronata","showy beggarticks","Bidens trichosperma"
"N","Asteraceae","H","Bidens comosa","tufted beggarticks","Bidens tripartita"
"N","Asteraceae","H","Bidens vulgata","common beggarticks","Bidens vulgata"
"N","unknown","H","Polygonum viviparum","alpine bistort","Bistorta vivipara"
"N","Lamiaceae","H","Blephilia hirsuta","woodmint","Blephilia hirsuta"
"N","Brassicaceae","H","Arabis canadensis","sicklepod","Boechera canadensis"
"N","Brassicaceae","H","Arabis holboellii","Collins' rock cress","Boechera collinsii"
"N","Brassicaceae","H","Arabis shortii","stellate rock cress","Boechera dentata"
"N","Brassicaceae","H","Arabis divaricarpa","spreading rock cress","Boechera grahamii"
