"native","family","physiognomy","synonymGC","commonName","nameDNR"
"N","Orchidaceae","H","Calopogon oklahomensis","Oklahoma grass pink","Calopogon oklahomensis"
"N","Orchidaceae","H","Calopogon tuberosus var. tuberosus","tuberous grass pink","Calopogon tuberosus var. tuberosus"
"N","Ranunculaceae","H","Caltha natans","floating marsh marigold","Caltha natans"
"N","Ranunculaceae","H","Caltha palustris","common marsh marigold","Caltha palustris"
"N","unknown","H","Calypso bulbosa var. americana","fairy slipper","Calypso bulbosa var. americana"
"N","Convolvulaceae","H","","Macoun's false bindweed","Calystegia macounii"
"N","Convolvulaceae","H","Calystegia sepium","hedge bindweed","Calystegia sepium"
"N","Convolvulaceae","H","","hedge bindweed","Calystegia sepium subsp. angulata"
"N","Convolvulaceae","H","","Appalachia false bindweed","Calystegia sepium subsp. appalachiana"
"N","Convolvulaceae","H","Calystegia spithamaea","upright bindweed","Calystegia spithamaea"
"N","Convolvulaceae","H","","upright bindweed","Calystegia spithamaea subsp. spithamaea"
"N","Convolvulaceae","H","","upright bindweed","Calystegia spithamaea subsp. stans"
"I","Brassicaceae","H","Camelina alyssum","European false flax","Camelina alyssum"
"I","Brassicaceae","H","Camelina microcarpa","small-seeded false flax","Camelina microcarpa"
"I","Brassicaceae","H","Camelina sativa","large-seeded false flax","Camelina sativa"
"N","Campanulaceae","H","Campanula americana","tall bellflower","Campanula americana"
"N","Campanulaceae","H","Campanula aparinoides","marsh bellflower","Campanula aparinoides"
"N","Campanulaceae","H","Campanula aparinoides var. aparinoides","marsh bellflower","Campanula aparinoides var. aparinoides"
"N","Campanulaceae","H","Campanula aparinoides var. grandiflora","marsh bellflower","Campanula aparinoides var. grandiflora"
"I","Campanulaceae","H","Campanula cervicaria","bristly bluebells","Campanula cervicaria"
"I","Campanulaceae","H","Campanula rapunculoides","European bellflower","Campanula rapunculoides"
"N","Campanulaceae","H","Campanula rotundifolia","harebell","Campanula rotundifolia"
"N","unknown","H","Aster modestus","modest aster","Canadanthus modestus"
"I","Cannabaceae","H","Cannabis sativa","marijuana","Cannabis sativa"
"I","Brassicaceae","H","Capsella bursa-pastoris","shepherd's-purse","Capsella bursa-pastoris"
"I","Fabaceae","D","Caragana arborescens","Siberian peashrub","Caragana arborescens"
"N","Brassicaceae","H","Cardamine rhomboidea","spring cress","Cardamine bulbosa"
"N","Brassicaceae","H","Cardamine concatenata","cut-leaved toothwort","Cardamine concatenata"
"N","Brassicaceae","H","","","Cardamine douglassii"
"I","Brassicaceae","H","Cardamine impatiens","narrowleaf bittercress","Cardamine impatiens"
"N","Brassicaceae","H","Cardamine parviflora var. arenicola","small-flowered bitter cress","Cardamine parviflora"
"N","Brassicaceae","H","Cardamine pensylvanica","Pensylvania bitter cress","Cardamine pensylvanica"
"N","Brassicaceae","H","Cardamine pratensis, Cardamine pratensis var. palustris","cuckoo flower","Cardamine pratensis"
"I","Brassicaceae","H","Cardamine pratensis var. pratensis","cuckoo flower","Cardamine pratensis"
"I","Asteraceae","H","","plumeless thistle","Carduus acanthoides subsp. acanthoides"
"I","Asteraceae","H","Carduus nutans","nodding thistle","Carduus nutans"
"N","Cyperaceae","G","Carex adusta","browned sedge","Carex adusta"
"N","Cyperaceae","G","Carex albursina","white bear sedge","Carex albursina"
"N","Cyperaceae","G","Carex alopecoidea","foxtail sedge","Carex alopecoidea"
"N","Cyperaceae","G","Carex vulpinoidea var. ambigua","yellow-fruit sedge","Carex annectens"
"N","Cyperaceae","G","Carex aquatilis","aquatic sedge","Carex aquatilis"
"N","Cyperaceae","G","Carex aquatilis var. aquatilis","aquatic sedge","Carex aquatilis var. aquatilis"
"N","Cyperaceae","G","Carex aquatilis var. substricta","aquatic sedge","Carex aquatilis var. substricta"
"N","Cyperaceae","G","Carex arcta","northern clustered sedge","Carex arcta"
"N","Cyperaceae","G","Carex arctata","drooping wood sedge","Carex arctata"
"N","Cyperaceae","G","Carex assiniboinensis","assiniboine sedge","Carex assiniboinensis"
"N","Cyperaceae","G","Carex atherodes","slough sedge","Carex atherodes"
"N","Cyperaceae","G","Carex aurea","golden-fruited sedge","Carex aurea"
"N","Cyperaceae","G","Carex backii s.l.","Back's sedge","Carex backii"
"N","Cyperaceae","G","Carex bebbii","Bebb's sedge","Carex bebbii"
"N","Cyperaceae","G","Carex bicknellii","Bicknell's sedge","Carex bicknellii"
"N","Cyperaceae","G","Carex blanda","charming sedge","Carex blanda"
"N","Cyperaceae","G","Carex brevior s.l.","plains oval sedge","Carex brevior"
"N","Cyperaceae","G","","brome-like sedge","Carex bromoides subsp. bromoides"
"N","Cyperaceae","G","Carex brunnescens","brownish sedge","Carex brunnescens"
"N","Cyperaceae","G","Carex brunnescens","brownish sedge","Carex brunnescens subsp. brunnescens"
"N","Cyperaceae","G","Carex brunnescens","brownish sedge","Carex brunnescens subsp. sphaerostachya"
"N","Cyperaceae","G","Carex buxbaumii","Buxbaum's sedge","Carex buxbaumii"
"N","Cyperaceae","G","Carex canescens","silvery sedge","Carex canescens"
"N","Cyperaceae","G","Carex canescens","silvery sedge","Carex canescens subsp. canescens"
"N","Cyperaceae","G","Carex canescens","silvery sedge","Carex canescens subsp. disjuncta"
"N","Cyperaceae","G","Carex capillaris","hair-like sedge","Carex capillaris"
"N","Cyperaceae","G","Carex careyana","Carey's sedge","Carex careyana"
"N","Cyperaceae","G","Carex castanea","chestnut-colored sedge","Carex castanea"
"N","Cyperaceae","G","Carex sparganioides var. cephaloidea","cluster bracted sedge","Carex cephaloidea"
"N","Cyperaceae","G","Carex cephalophora","oval-headed sedge","Carex cephalophora"
"N","Cyperaceae","G","Carex chordorrhiza","creeping sedge","Carex chordorrhiza"
"N","Cyperaceae","G","","colonial sedge","Carex communis var. communis"
"N","Cyperaceae","G","Carex comosa","bristly sedge","Carex comosa"
"N","Cyperaceae","G","Carex conjuncta","jointed sedge","Carex conjuncta"
"N","Cyperaceae","G","Carex conoidea s.l.","field sedge","Carex conoidea"
"N","Cyperaceae","G","Carex crawei","Crawe's sedge","Carex crawei"
"N","Cyperaceae","G","Carex crawfordii","Crawford's sedge","Carex crawfordii"
"N","Cyperaceae","G","","fringe sedge","Carex crinita var. crinita"
"N","Cyperaceae","G","Carex cristatella","crested sedge","Carex cristatella"
"N","Cyperaceae","G","Carex crus-corvi","raven's foot sedge","Carex crus-corvi"
"N","Cyperaceae","G","Carex cryptolepis","cryptic sedge","Carex cryptolepis"
"N","Cyperaceae","G","Carex davisii","Davis' sedge","Carex davisii"
"N","Cyperaceae","G","Carex debilis var. rudgei","weak sedge","Carex debilis var. rudgei"
"N","Cyperaceae","G","","northern sedge","Carex deflexa var. deflexa"
"N","Cyperaceae","G","","Dewey's sedge","Carex deweyana var. deweyana"
"N","Cyperaceae","G","Carex diandra","lesser panicled sedge","Carex diandra"
"N","Cyperaceae","G","Carex disperma","soft-leaved sedge","Carex disperma"
"N","Cyperaceae","G","Carex stenophylla","spike rush sedge","Carex duriuscula"
"N","Cyperaceae","G","Carex eburnea","ivory sedge","Carex eburnea"
"N","Cyperaceae","G","Carex echinata subsp. echinata","slender sedge","Carex echinata subsp. echinata"
"N","Cyperaceae","G","Carex tenera var. echinodes","marsh straw sedge","Carex echinodes"
"N","Cyperaceae","G","Carex emoryi","Emory's sedge","Carex emoryi"
"N","Cyperaceae","G","Carex exilis","coastal sedge","Carex exilis"
"N","Cyperaceae","G","","thread-leaved sedge","Carex filifolia var. filifolia"
"N","Cyperaceae","G","Carex flava","yellow sedge","Carex flava"
"N","Cyperaceae","G","Carex foenea","hay sedge","Carex foenea"
"N","Cyperaceae","G","Carex formosa","handsome sedge","Carex formosa"
"N","Cyperaceae","G","Carex garberi","Garber's sedge","Carex garberi"
"N","Cyperaceae","G","Carex gracillima","graceful sedge","Carex gracillima"
"N","Cyperaceae","G","Carex granularis","granular sedge","Carex granularis"
"N","Cyperaceae","G","Carex gravida","heavy sedge","Carex gravida"
"N","Cyperaceae","G","Carex grayi","Gray's sedge","Carex grayi"
"N","Cyperaceae","G","Carex amphibola","ambiguous sedge","Carex grisea"
"N","Cyperaceae","G","Carex gynandra","nodding sedge","Carex gynandra"
"N","Cyperaceae","G","Carex dioica var. gynocrates","feminine sedge","Carex gynocrates"
"N","Cyperaceae","G","Carex hallii s.s., Carex parryana","Hall's sedge","Carex hallii"
"N","Cyperaceae","G","Carex haydenii","Hayden's sedge","Carex haydenii"
"N","Cyperaceae","G","Carex hirtifolia","hairy-leaved sedge","Carex hirtifolia"
"N","Cyperaceae","G","Carex hitchcockiana","Hitchcock's sedge","Carex hitchcockiana"
"N","Cyperaceae","G","","Hooker's sedge","Carex hookerana"
"N","Cyperaceae","G","Carex houghtoniana","Houghton's sedge","Carex houghtoniana"
"N","Cyperaceae","G","Carex hystericina","porcupine sedge","Carex hystericina"
"N","Cyperaceae","G","","sun-loving sedge","Carex inops subsp. heliophila"
"N","Cyperaceae","G","Carex interior","interior sedge","Carex interior"
"N","Cyperaceae","G","Carex intumescens","bladder sedge","Carex intumescens"
"N","Cyperaceae","G","Carex jamesii","James' sedge","Carex jamesii"
"N","Cyperaceae","G","Carex lacustris","lake sedge","Carex lacustris"
"N","Cyperaceae","G","Carex laeviconica","smooth-cone sedge","Carex laeviconica"
"N","Cyperaceae","G","Carex laevivaginata","smooth-sheathed sedge","Carex laevivaginata"
"N","Cyperaceae","G","Carex lasiocarpa var. americana","fen  wiregrass sedge","Carex lasiocarpa"
"N","Cyperaceae","G","Carex laxiculmis","spreading sedge","Carex laxiculmis var. copulata"
"N","Cyperaceae","G","Carex lenticularis","lenticular sedge","Carex lenticularis var. lenticularis"
"N","Cyperaceae","G","Carex leptalea","bristle-stalked sedge","Carex leptalea"
"N","Cyperaceae","G","Carex leptonervia","fine-nerved sedge","Carex leptonervia"
"N","Cyperaceae","G","Carex limosa","candle-lantern sedge","Carex limosa"
"N","Cyperaceae","G","Carex livida","lead-colored sedge","Carex livida"
"N","Cyperaceae","G","Carex lucorum","Blue Ridge sedge","Carex lucorum var. lucorum"
"N","Cyperaceae","G","Carex lupulina","hop umbrella sedge","Carex lupulina"
"N","Cyperaceae","G","Carex lurida","sallow sedge","Carex lurida"
"N","Cyperaceae","G","Carex paupercula","poor sedge","Carex magellanica subsp. irrigua"
"N","Cyperaceae","G","Carex meadii","Mead's sedge","Carex meadii"
"N","Cyperaceae","G","Carex media s.s., Carex norvegica","intermediate sedge","Carex media"
"N","Cyperaceae","G","Carex brevior s.l.","Fernald's sedge","Carex merritt-fernaldii"
"N","Cyperaceae","G","Carex michauxiana","Michaux's sedge","Carex michauxiana"
"N","Cyperaceae","G","Carex brevior s.l.","troublesome sedge","Carex molesta"
"N","Cyperaceae","G","Carex muhlenbergii var. muhlenbergii","Muhlenberg's sedge","Carex muehlenbergii var. muehlenbergii"
"N","Cyperaceae","G","Carex muskingumensis","Muskingum sedge","Carex muskingumensis"
"N","Cyperaceae","G","Carex normalis","right-angle sedge","Carex normalis"
"N","Cyperaceae","G","Carex novae-angliae","New England sedge","Carex novae-angliae"
"N","Cyperaceae","G","Carex obtusata","blunt sedge","Carex obtusata"
"N","Cyperaceae","G","Carex oligocarpa","few-fruited sedge","Carex oligocarpa"
"N","Cyperaceae","G","Carex oligosperma","bog wiregrass sedge","Carex oligosperma"
"N","Cyperaceae","G","Carex gracilescens","necklace sedge","Carex ormostachya"
"N","Cyperaceae","G","Carex pallescens","pale sedge","Carex pallescens"
"N","Cyperaceae","G","Carex pauciflora","few-flowered sedge","Carex pauciflora"
"N","Cyperaceae","G","Carex peckii","Peck's sedge","Carex peckii"
"N","Cyperaceae","G","Carex pedunculata","long-stalked sedge","Carex pedunculata"
"N","Cyperaceae","G","Carex pellita","woolly sedge","Carex pellita"
"N","Cyperaceae","G","Carex pensylvanica, Carex pensylvanica var. pensylvanica","Pennsylvania sedge","Carex pensylvanica"
"N","Cyperaceae","G","Carex plantaginea","plantain-leaved sedge","Carex plantaginea"
"N","Cyperaceae","G","Carex praegracilis","very slender sedge","Carex praegracilis"
"N","Cyperaceae","G","Carex prairea","prairie sedge","Carex prairea"
"N","Cyperaceae","G","Carex praticola","prairie-dweller sedge","Carex praticola"
"N","Cyperaceae","G","Carex projecta","projecting sedge","Carex projecta"
"N","Cyperaceae","G","Carex pseudocyperus","cyperus sedge","Carex pseudocyperus"
"N","Cyperaceae","G","Carex radiata","eastern star sedge","Carex radiata"
"N","Cyperaceae","G","Carex retrorsa","retrorse sedge","Carex retrorsa"
"N","Cyperaceae","G","Carex richardsonii","Richardson's sedge","Carex richardsonii"
"N","Cyperaceae","G","Carex rosea","starry sedge","Carex rosea"
"N","Cyperaceae","G","Carex rossii","Ross' sedge","Carex rossii"
"N","Cyperaceae","G","Carex rostrata s.s.","beaked sedge","Carex rostrata"
"N","Cyperaceae","G","Carex sartwellii","Sartwell's sedge","Carex sartwellii"
"N","Cyperaceae","G","Carex backii s.l.","Rocky Mountain sedge","Carex saximontana"
"N","Cyperaceae","G","Carex scirpoidea","northern single-spike sedge","Carex scirpoidea subsp. scirpoidea"
"N","Cyperaceae","G","Carex scoparia","pointed broom sedge","Carex scoparia"
"N","Cyperaceae","G","Carex siccata","dry spike sedge","Carex siccata"
"N","Cyperaceae","G","Carex sparganioides s.l., Carex sparganioides var. sparganioides","bur-reed sedge","Carex sparganioides"
"N","Cyperaceae","G","Carex sprengelii","Sprengel's sedge","Carex sprengelii"
"N","Cyperaceae","G","Carex sterilis","sterile sedge","Carex sterilis"
"N","Cyperaceae","G","Carex stipata","awl-fruited sedge","Carex stipata var. stipata"
"N","Cyperaceae","G","Carex stricta","tussock sedge","Carex stricta"
"N","Cyperaceae","G","Carex suberecta","prairie straw sedge","Carex suberecta"
"N","Cyperaceae","G","Carex supina","weak arctic sedge","Carex supina subsp. spaniocarpa"
"N","Cyperaceae","G","Carex sychnocephala","many-headed sedge","Carex sychnocephala"
"N","Cyperaceae","G","Carex tenera s.l., Carex tenera var. tenera","quill sedge","Carex tenera"
"N","Cyperaceae","G","Carex tenuiflora","sparse-flowered sedge","Carex tenuiflora"
"N","Cyperaceae","G","Carex tetanica","rigid sedge","Carex tetanica"
"N","Cyperaceae","G","Carex umbellata s.l.","shaved sedge","Carex tonsa"
"N","Cyperaceae","G","Carex umbellata s.l.","shaved sedge","Carex tonsa var. rugosperma"
"N","Cyperaceae","G","Carex umbellata s.l.","shaved sedge","Carex tonsa var. tonsa"
"N","Cyperaceae","G","Carex torreyi","Torrey's sedge","Carex torreyi"
"N","Cyperaceae","G","Carex tribuloides","blunt broom sedge","Carex tribuloides var. tribuloides"
"N","Cyperaceae","G","Carex trichocarpa","hairy-fruited sedge","Carex trichocarpa"
"N","Cyperaceae","G","Carex trisperma","three-seeded bog sedge","Carex trisperma"
"N","Cyperaceae","G","Carex tuckermanii","Tuckerman's sedge","Carex tuckermanii"
"N","Cyperaceae","G","Carex typhina","cattail sedge","Carex typhina"
"N","Cyperaceae","G","Carex umbellata s.l.","umbel sedge","Carex umbellata"
"N","Cyperaceae","G","Carex utriculata","beaked sedge","Carex utriculata"
"N","Cyperaceae","G","Carex vaginata","sheathed sedge","Carex vaginata"
"N","Cyperaceae","G","Carex vesicaria","inflated sedge","Carex vesicaria"
"N","Cyperaceae","G","Carex viridula","green sedge","Carex viridula subsp. viridula"
"N","Cyperaceae","G","Carex vulpinoidea, Carex vulpinoidea var. vulpinoidea","fox sedge","Carex vulpinoidea"
"N","Cyperaceae","G","Carex woodii","Wood's sedge","Carex woodii"
"N","Cyperaceae","G","Carex xerantica","dry sedge","Carex xerantica"
"N","Cyperaceae","G","","Kniekern's sedge","Carex xknieskernii"
"N","Betulaceae","D","Carpinus caroliniana var. virginiana","blue beech","Carpinus caroliniana subsp. virginiana"
"I","Apiaceae","H","Carum carvi","caraway","Carum carvi"
"N","Juglandaceae","D","Carya cordiformis","bitternut hickory","Carya cordiformis"
"N","Juglandaceae","D","Carya ovata","shagbark hickory","Carya ovata var. ovata"
"N","Scrophulariaceae","H","Castilleja coccinea","Indian paintbrush","Castilleja coccinea"
"N","Scrophulariaceae","H","Castilleja septentrionalis","northern paintbrush","Castilleja septentrionalis"
"N","Scrophulariaceae","H","Castilleja sessiliflora","downy paintbrush","Castilleja sessiliflora"
"I","Bignoniaceae","D","Catalpa speciosa","cigar tree","Catalpa speciosa"
"N","Berberidaceae","H","Caulophyllum thalictroides","blue cohosh","Caulophyllum thalictroides"
"N","Rhamnaceae","D","Ceanothus americanus, Ceanothus americanus var. pitcheri","New Jersey tea","Ceanothus americanus"
"N","Rhamnaceae","D","Ceanothus herbaceus","oval-leaved New Jersey tea","Ceanothus herbaceus"
"I","Rhamnaceae","C","Celastrus orbiculatus","Oriental bittersweet","Celastrus orbiculatus"
"N","Rhamnaceae","C","Celastrus scandens","American bittersweet","Celastrus scandens"
"N","Ulmaceae","D","Celtis occidentalis","hackberry","Celtis occidentalis"
"N","Poaceae","G","Cenchrus longispinus","sandbur","Cenchrus longispinus"
"N","Poaceae","G","","coastal sandbur","Cenchrus spinifex"
"I","Asteraceae","H","Centaurea cyanus","cornflower","Centaurea cyanus"
"I","Asteraceae","H","Centaurea jacea","brown knapweed","Centaurea jacea"
